,registrationDate,propertyDescription,leaseDateTerm,lesseeTitle,NOTE 1,NOTE 2,NOTE 3,NOTE 4
543,18.01.2011 Edged and numbered 5 in blue (part of),Flat 4106 Landmark East Tower (forty first floor flat) ,16.12.2010 999 years from 1.1.2009 ,AGL225732   ,,,,
544,18.01.2011 94 on the supplementary plan,Parking space 43 (basement level)  ,16.12.2010 999 years from 1.1.2009 ,AGL225732   ,,,,
545,18.01.2011 Edged and numbered 5 in blue (part of),Flat 1108 Landmark East Tower (eleventh floor flat)  ,05.01.2011 999 years from 1.1.2009 ,AGL225733   ,,,,
546,18.01.2011 Edged and numbered 5 in blue (part of),Flat 3910 Landmark East Tower (thirty ninth floor flat) ,07.12.2010 999 years from 1.1.2009 ,AGL225757   ,,,,
547,18.01.2011 73 on the supplementary plan,Parking space 128 (basement level)  ,07.12.2010 999 years from 1.1.2009 ,AGL225757   ,,,,
548,18.01.2011 Edged and numbered 5 in blue (part of),Flat 1002 Landmark East Tower (tenth floor flat)  ,09.12.2010 999 years from 1.1.2009 ,AGL225775   ,,,,
549,18.01.2011 Edged and numbered 5 in blue (part of),Flat 1308 Landmark East Tower (thirteenth floor flat) ,15.12.2010 999 years from 1.1.2009 ,AGL225777   ,,,,
550,18.01.2011 Edged and numbered 5 in blue (part of),Flat 3106 Landmark East Tower (thirty first floor flat) ,09.12.2010 999 years from 1.1.2009 ,AGL225790   ,,,,
551,18.01.2011 Edged and numbered 5 in blue (part of),Flat 1101 Landmark East Tower (eleventh floor flat)  ,06.01.2011 999 years from 1.1.2009 ,AGL225807   ,,,,
552,26.01.2011 Edged and numbered 5 in blue (part of) until and including 31/12/3007,Flat 2906 Landmark East Tower (twenty ninth floor flat)    ,22.12.2010 999 years from and including 01/01/2009   ,AGL226360      ,,,,
553,20.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3410 Landmark East Tower (thirty fourth floor flat)    ,10.01.2011 999 years from and including 01.01.2009   ,AGL225923      ,,,,
554,20.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 211 Landmark East Tower (second floor flat)     ,06.01.2011 999 years from and including 01.01.2009   ,AGL225924      ,,,,
555,20.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2203 Landmark East Tower (twenty second floor flat)    ,03.12.2010 999 years from and including 01.01.2009   ,AGL225925      ,,,,
556,21.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3408 Landmark East Tower (thirty fourth floor flat)    ,14.01.2011 999 years from and including 01.01.2009   ,AGL226042      ,,,,
557,21.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1311 Landmark East Tower (thirteenth floor flat)    ,15.12.2010 999 years from and including 01.01.2009   ,AGL226047      ,,,,
558,24.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2409 Landmark East Tower (twenty fourth floor flat)    ,06.01.2011 999 years from and including 01.01.2009   ,AGL226162      ,,,,
559,24.01.2011 77 in blue on supplementary plan 1 until and including 31.12.3007,Parking space 121 (basement level)     ,06.01.2011 999 years from and including 01.01.2009   ,AGL226162      ,,,,
560,21.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1410 Landmark East Tower (fourteenth floor flat)    ,10.01.2011 999 years from and including 01.01.2009   ,AGL226263      ,,,,
561,21.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3901 Landmark East Tower (thirty ninth floor flat)    ,01.12.2010 999 years from and including 01.01.2009   ,AGL226281      ,,,,
562,21.01.2011 98 in blue on supplementary plan 1 until and including 31.12.3007,Parking space 166 (basement level)     ,01.12.2010 999 years from and including 01.01.2009   ,AGL226281      ,,,,
563,28.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3905 Landmark East Tower (thirty ninth floor flat)    ,17.12.2010 999 years from and including 01.01.2009   ,AGL226522      ,,,,
564,28.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3205 Landmark East Tower (thirty second floor flat)    ,17.12.2010 999 years from and including 01.01.2009   ,AGL226556      ,,,,
565,28.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2605 Landmark East Tower (twenty sixth floor flat)    ,15.12.2010 999 years from and including 01.01.2009   ,AGL226579      ,,,,
566,31.01.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3405 Landmark East Tower (thirty fourth floor flat)    ,07.01.2011 999 years from and including 01.01.2009   ,AGL226623      ,,,,
567,31.01.2011 95 on the supplementary plan,Parking space 147 (basement level)  ,07.01.2011 999 years from and including 1.1.2009,AGL226666   ,,,,
568,07.02.2011 Edged and numbered 5 in blue (part of),Flat 4110 Landmark East Tower (forty first floor flat) ,13.12.2010 999 years from 1.1.2009 ,AGL227056   ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 3 October 2013,,,
569,29.10.2010 60 in blue on supplementary plan,Parking space 116 (basement level)  ,01.10.2010 999 years from 1.1.2009 ,AGL220789   ,,,,
570,11.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3510 Landmark East Tower (thirty fifth floor flat)    ,10.01.2011 999 years from and including 01.01.2009   ,AGL227481      ,,,,
571,17.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1103 Landmark East Tower (eleventh floor flat)     ,19.01.2011 999 years from and including 01.01.2009   ,AGL227810      ,,,,
572,17.02.2011 100 in blue on supplementary plan until and including 31.12.3007,Parking space 33 (basement level)     ,19.01.2011 999 years from and including 01.01.2009   ,AGL227810      ,,,,
573,21.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1303 Landmark East Tower (thirteenth floor flat)    ,21.02.2011 999 years from and including 01.01.2009   ,AGL227923      ,,,,
574,21.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3603 Landmark East Tower (thirty sixth floor flat)    ,07.02.2011 999 years from and including 01.01.2009   ,AGL227926      ,,,,
575,21.02.2011 101 in blue on supplementary plan until and including 31.12.3007,Parking space 195 (basement level)     ,07.02.2011 999 years from and including 01.01.2009   ,AGL227938      ,,,,
576,21.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1903 Landmark East Tower (nineteenth floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL227979      ,,,,
577,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3209 Landmark East Tower (thirty second floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL228000      ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 2 May 2014.,,,
578,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3508 Landmark East Tower (thirty fifth floor flat)    ,14.01.2011 999 years from and including 01.01.2009   ,AGL228008      ,,,,
579,22.02.2011 102 in blue on supplementary plan until and including 31.12.3007,Parking space 35 (basement level)     ,14.01.2011 999 years from and including 01.01.2009   ,AGL228008      ,,,,
580,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1104 Landmark East Tower (eleventh floor flat)     ,18.01.2011 999 years from and including 01.01.2009   ,AGL228060      ,,,,
581,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1706 Landmark East Tower (seventeenth floor flat)    ,18.01.2011 999 years from and including 01.01.2009   ,AGL228060      ,,,,
582,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1209 Landmark East Tower (twelfth floor flat)     ,24.01.2011 999 years from and including 01.01.2009   ,AGL228068      ,,,,
583,22.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1601 Landmark East Tower (sixteenth floor flat)    ,14.01.2011 999 years from and including 01.01.2009   ,AGL228099      ,,,,
584,23.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1902 Landmark East Tower (nineteenth floor flat)    ,18.01.2011 999 years from and including 01.01.2009   ,AGL228155      ,,,,
585,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3805 Landmark East Tower (thirty eighth floor flat)    ,19.01.2011 999 years from and including 01.01.2009   ,AGL228209      ,,,,
586,24.02.2011 104 in blue on supplementary plan until and including 31.12.3007,Parking space 126 (basement level)     ,19.01.2011 999 years from and including 01.01.2009   ,AGL228209      ,,,,
587,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 902 Landmark East Tower (ninth floor flat)     ,19.01.2011 999 years from and including 01.01.2009   ,AGL228212      ,,,,
588,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3202 Landmark East Tower (thirty second floor flat)    ,21.01.2011 999 years from and including 01.01.2009   ,AGL228234      ,,,,
589,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2501 Landmark East Tower (twenty fifth floor flat)    ,18.01.2011 999 years from and including 01.01.2009   ,AGL228242      ,,,,
590,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3206 Landmark East Tower (thirty second floor flat)    ,24.01.2011 999 years from and including 01.01.2009   ,AGL228244      ,,,,
591,24.02.2011 105 in blue on the supplementary plan including 31.12.3007,Parking space 168 (basement level)     ,24.01.2011 999 years from and including 01.01.2009 until and  ,AGL228244      ,,,,
592,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3009 Landmark East Tower (thirtieth floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL228253      ,,,,
593,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1208 Landmark East Tower (twelfth floor flat)     ,17.01.2011 999 years from and including 01.01.2009   ,AGL228266      ,,,,
594,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2702 Landmark East Tower (twenty seventh floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL228271      ,,,,
595,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1506 Landmark East Tower (fifteenth floor flat)    ,18.01.2011 999 years from and including 01.01.2009   ,AGL228256      ,,,,
596,24.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2904 Landmark East Tower (twenty ninth floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL228278      ,,,,
597,25.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,4209 Landmark East Tower (forty second floor flat)     ,21.01.2011 999 years from and including 01.01.2009   ,AGL228286      ,,,,
598,25.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 1202 Landmark East Tower (twelfth floor flat)     ,21.01.2011 999 years from and including 01.01.2009   ,AGL228303      ,,,,
599,28.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 3404 Landmark East Tower (thirty fourth floor flat)    ,20.01.2011 999 years from and including 01.01.2009   ,AGL228383      ,,,,
600,28.02.2011 Edged and numbered 5 in blue (part of) until and including 31.12.3007,Flat 2505 Landmark East Tower (twenty fifth floor flat)    ,11.02.2011 999 years from and including 01.01.2009   ,AGL228409      ,,,,
601,13.12.2010 Edged and numbered 5 in blue (part of),Flat 2708 Landmark East Tower (twenty seventh floor flat) ,17.11.2010 999 years from 1.1.2009 ,EGL575750   ,,,,
602,28.02.2011 Edged and 999 years numbered 5 in blue (part of) 1.1.2009 until and including 31.12.3007,Flat 3602 Landmark East Tower (thirty sixth floor  flat)    ,18.01.2011   from and including   ,AGL228416       ,,,,
603,28.02.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1501 Landmark East Tower (fifteenth floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL228426     ,,,,
604,01.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4202 Landmark East Tower (forty second floor flat)   ,19.01.2011 999 years from and including 1.1.2009 until  ,AGL228457     ,,,,
605,02.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3801 Landmark East Tower (thirty eighth floor flat)   ,23.11.2010 999 years from and including 1.1.2009 until  ,AGL228571     ,,,,
606,07.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2703 Landmark East Tower (twenty seventh floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL228805     ,,,,
607,08.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4008 Landmark East Tower (fortieth floor flat)    ,25.02.2011 999 years from and including 1.1.2009 until  ,AGL228878     ,,,,
608,08.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1704 Landmark East Tower (seventeenth floor flat)   ,08.03.2011 999 years from and including 1.1.2009 until  ,AGL228901     ,,,,
609,08.02.2011 106 in blue on the supplementary plan 31.12.3007,Parking space 42 (basement level)    ,28.01.2011 999 years from and including 1.1.2009 until and including ,AGL228935     ,,,,
610,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 209 Landmark East Tower (second floor flat)    ,28.01.2011 999 years from and including 1.1.2009 until  ,AGL228982     ,,,,
611,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1507 Landmark East Tower (fifteenth floor flat)   ,10.02.2011 999 years from and including 1.1.2009 until  ,AGL228954     ,,,,
612,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3306 Landmark East Tower (thirty third floor flat)   ,28.01.2011 999 years from and including 1.1.2009 until  ,AGL228984     ,,,,
613,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4205 Landmark East Tower (forty second floor flat)   ,31.01.2011 999 years from and including 1.1.2009 until  ,AGL228998     ,,,,
614,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 401 Landmark East Tower (fourth floor flat)    ,25.01.2011 999 years from and including 1.1.2009 until  ,AGL228992     ,,,,
615,09.03.2011 107 in blue on the supplementary plan 31.12.3007,Parking space 129 (basement level)    ,31.01.2011 999 years from and including 1.1.2009 until and including ,AGL228998     ,,,,
616,09.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4208 Landmark East Tower (forty second floor flat)   ,31.01.2011 999 years from and including 1.1.2009 until  ,AGL229000     ,,,,
617,10.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 510 Landmark East Tower (fifth floor flat)    ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL229047     ,,,,
618,15.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2607 Landmark East Tower (twenty sixth floor flat)   ,01.03.2011 999 years from and including 1.1.2009 until  ,AGL229314     ,,,,
619,28.02.2011 108 in blue on the supplementary plan 31.12.3007,Parking space 130 (basement level)    ,28.02.2011 999 years from and including 1.1.2009 until and including ,AGL229354     ,NOTE: Copy filed under AGL229337,,,
620,16.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3004 Landmark East Tower (thirtieth floor flat)   ,28.02.2011 999 years from and including 1.1.2009 until  ,AGL229354     ,NOTE: See entry in the Charges Register relating to a Deed of variation dated 25 January 2019,,,
621,16.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1407 Landmark East Tower (fourteenth floor flat)   ,07.03.2011 999 years from and including 1.1.2009 until  ,AGL229368     ,,,,
622,16.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3102 Landmark East Tower (thirty first floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL229373     ,,,,
623,17.03.2011 109 in blue on the supplementary plan 31.12.3007,Parking space 41 (basement level)    ,25.01.2011 999 years from and including 1.1.2009 until and including ,AGL229459     ,,,,
624,17.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4207 Landmark East Tower (forty second floor flat)   ,25.01.2011 999 years from and including 1.1.2009 until  ,AGL229459     ,,,,
625,17.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2908 Landmark East Tower (twenty ninth floor flat)   ,22.12.2010 999 years from and including 1.1.2009 until  ,AGL229492     ,,,,
626,28.03.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3704 Landmark East Tower (thirty seventh floor flat)   ,11.03.2011 999 years from and including 1.1.2009 until  ,AGL230006     ,,,,
627,28.03.2011 110 and 111 in blue on the supplementary plan 31.12.3007,Parking spaces 192 and 193 (basement level)    ,28.03.2011 999 years from and including 1.1.2009 until and including ,AGL230006     ,,,,
628,01.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1205 Landmark East Tower (twelfth floor flat)    ,11.03.2011 999 years from and including 1.1.2009 until  ,AGL230376     ,,,,
629,07.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3601 Landmark East Tower (thirty sixth floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL230740     ,,,,
630,07.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4001 Landmark East Tower (fortieth floor flat)    ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL230756     ,,,,
631,07.04.2011 112 in blue on the supplementary plan 31.12.3007,Parking space 167 (basement level)    ,21.01.2011 999 years from and including 1.1.2009 until and including ,AGL230756     ,,,,
632,08.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4201 Landmark East Tower (forty second floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL230808     ,,,,
633,08.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2806 Landmark East Tower (twenty eighth floor flat)   ,19.01.2011 999 years from and including 1.1.2009 until  ,AGL230837     ,,,,
634,11.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1009 Landmark East Tower (tenth floor flat)    ,25.03.2011 999 years from and including 1.1.2009 until  ,AGL230917     ,,,,
635,12.04.2011 Edged and numbered 4 in blue (part of) and including 31.12.3007,Flat 1708 Landmark West Tower (seventeenth floor flat)   ,22.11.2010 999 years from and including 1.1.2009 until  ,AGL230980     ,,,,
636,14.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3810 Landmark East Tower (thirty eighth floor flat)   ,31.03.2011 999 years from and including 1.1.2009 until  ,AGL231178     ,,,,
637,14.04.2011 113 in blue on the supplementary plan 31.12.3007,Parking space 144 (basement level)    ,31.03.2011 999 years from and including 1.1.2009 until and including ,AGL231200     ,,,,
638,18.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4109 Landmark East Tower (forty first floor flat)   ,18.04.2011 999 years from and including 1.1.2009 until  ,AGL231248     ,,,,
639,18.04.2011 114 in blue on the supplementary plan 31.12.3007,Parking space 164 (basement level)    ,31.03.2011 999 years from and including 1.1.2009 until and including ,AGL231248     ,,,,
640,21.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4007 Landmark East Tower (fortieth floor flat)    ,23.02.2011 999 years from and including 1.1.2009 until  ,AGL231628     ,,,,
641,27.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 609 Landmark East Tower (sixth floor flat)    ,15.03.2011 999 years from and including 1.1.2009 until  ,AGL231765     ,,,,
642,28.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2707 Landmark East Tower (twenty seventh floor flat)   ,31.03.2011 999 years from and including 1.1.2009 until  ,AGL231820     ,,,,
643,28.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 909 Landmark East Tower (ninth floor flat)    ,28.04.2011 999 years from and including 1.1.2009 until  ,AGL231839     ,,,,
644,28.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1907 Landmark East Tower (nineteenth floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL231857     ,,,,
645,03.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 702 Landmark East Tower (seventh floor flat)    ,29.03.2011 999 years from and including 1.1.2009 until  ,AGL231887     ,,,,
646,03.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4009 Landmark East Tower (fortieth floor flat)    ,08.04.2011 999 years from and including 1.1.2009 until  ,AGL231918     ,,,,
647,03.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2507 Landmark East Tower (twenty fifth floor flat)   ,31.03.2011 999 years from and including 1.1.2009 until  ,AGL231910     ,,,,
648,09.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1408 Landmark East Tower (fourteenth floor flat)   ,18.04.2011 999 years from and including 1.1.2009 until  ,AGL232235     ,,,,
649,09.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2903 Landmark East Tower (twenty ninth floor flat)   ,15.04.2011 999 years from and including 1.1.2009 until  ,AGL232253     ,,,,
650,09.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1309 Landmark East Tower (thirteenth floor flat)   ,08.04.2011 999 years from and including 1.1.2009 until  ,AGL232261     ,,,,
651,12.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1302 Landmark East Tower (thirteenth floor flat)   ,21.04.2011 999 years from and including 1.1.2009 until  ,AGL232484     ,,,,
652,13.04.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2402 Landmark East Tower (twenty fourth floor flat)   ,13.04.2011 999 years from and including 1.1.2009 until  ,AGL232561     ,,,,
653,13.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3302 Landmark East Tower (thirty third floor flat)   ,12.04.2011 999 years from and including 1.1.2009 until  ,AGL232580     ,,,,
654,13.05.2011 115 in blue on the supplementary plan 31.12.3007,Parking space 46 (basement level)    ,12.04.2011 999 years from and including 1.1.2009 until and including ,AGL232580     ,,,,
655,13.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4202 Landmark East Tower (forty second floor flat)   ,15.04.2011 999 years from and including 1.1.2009 until  ,AGL232625     ,,,,
656,13.05.2011 116 in blue on the supplementary plan 31.12.3007,Parking space 101 (basement level)    ,15.04.2011 999 years from and including 1.1.2009 until and including ,AGL232625     ,,,,
657,16.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3809 Landmark East Tower (thirty eighth floor flat)   ,08.04.2011 999 years from and including 1.1.2009 until  ,AGL232662     ,,,,
658,18.05.2011 Edged and numbered 4 in blue (part of) and including 31.12.3007,Flat 3004 Landmark West Tower (thirtieth floor flat)   ,12.05.2011 999 years from and including 1.1.2009 until  ,AGL232820     ,,,,
659,18.05.2011 117 and 118 in blue on the supplementary plan 31.12.3007,Parking space 51 and 52 (basement level)    ,12.05.2011 999 years from and including 1.1.2009 until and including ,AGL232820     ,,,,
660,19.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2005 Landmark East Tower (twentieth floor flat)   ,04.04.2011 999 years from and including 1.1.2009 until  ,AGL232884     ,,,,
661,26.05.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1709 Landmark East Tower (seventeenth floor flat)   ,10.05.2011 999 years from and including 1.1.2009 until  ,AGL233265     ,,,,
662,01.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2404 Landmark East Tower (twenty fourth floor flat)   ,20.05.2011 999 years from and including 1.1.2009 until  ,AGL233491     ,,,,
663,01.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2807 Landmark East Tower (thirty eighth floor flat)   ,07.04.2011 999 years from and including 1.1.2009 until  ,AGL233516     ,,,,
664,02.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 709 Landmark East Tower (seventh floor flat)    ,20.05.2011 999 years from and including 1.1.2009 until  ,AGL233553     ,,,,
665,03.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2208 Landmark East Tower (twenty second floor flat)   ,18.05.2011 999 years from and including 1.1.2009 until  ,AGL233635     ,,,,
666,03.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1901 Landmark East Tower (nineteenth floor flat)   ,31.05.2011 999 years from and including 1.1.2009 until  ,AGL233652     ,,,,
667,03.06.2011 119 in blue on the supplementary plan 31.12.3007,Parking space 131 (basement level)    ,31.05.2011 999 years from and including 1.1.2009 until and including ,AGL233652     ,,,,
668,03.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3501 Landmark East Tower (thirty fifth floor flat)   ,31.05.2011 999 years from and including 1.1.2009 until  ,AGL233671     ,,,,
669,03.06.2011 120 in blue on the supplementary plan 31.12.3007,Parking space 146 (basement level)    ,31.05.2011 999 years from and including 1.1.2009 until and including ,AGL233671     ,,,,
670,03.06.2011 Edged and numbered 4 in blue (part of) and including 31.12.3007,Flat 2901 Landmark West Tower (twenty ninth floor flat)   ,31.05.2011 999 years from and including 1.1.2009 until  ,AGL233683     ,,,,
671,03.06.2011 121 and 122 in blue on the supplementary plan 31.12.3007,Parking spaces 49 and 50 (basement level)    ,31.05.2011 999 years from and including 1.1.2009 until and including ,AGL233683     ,,,,
672,07.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 4104 Landmark East Tower (forty first floor flat)   ,05.05.2011 999 years from and including 1.1.2009 until  ,AGL233902     ,,,,
673,10.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 1402 Landmark East Tower (fourteenth floor flat)   ,31.05.2011 999 years from and including 1.1.2009 until  ,AGL234196     ,,,,
674,10.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3701 Landmark East Tower (thirty seventh floor flat)   ,04.04.2011 999 years from and including 1.1.2009 until  ,AGL234251     ,,,,
675,10.06.2011 123 in blue on the supplementary plan 31.12.3007,Parking space 141 (basement level)    ,04.04.2011 999 years from and including 1.1.2009 until and including ,AGL234251     ,,,,
676,13.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 602 Landmark East Tower (sixth floor flat)    ,20.05.2011 999 years from and including 1.1.2009 until  ,AGL234275     ,,,,
677,13.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2801 Landmark East Tower (twenty eighth floor flat)   ,20.05.2011 999 years from and including 1.1.2009 until  ,AGL234299     ,,,,
678,13.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2410 Landmark East Tower (twenty fourth floor flat)   ,20.05.2011 999 years from and including 1.1.2009 until  ,AGL234314     ,,,,
679,29.12.2010 124 in blue on the supplementary plan 31.12.3007,Parking space 45 (basement level)    ,11.04.2011 999 years from and including 1.1.2009 until and including ,AGL224628     ,,,,
680,21.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 210 Landmark East Tower (second floor flat)    ,03.06.2011 999 years from and including 1.1.2009 until  ,AGL234793     ,,,,
681,23.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2905 Landmark East Tower (twenty ninth floor flat)   ,27.04.2011 999 years from and including 1.1.2009 until  ,AGL234964     ,,,,
682,23.06.2011 125 in blue on the supplementary plan 31.12.3007,Parking space 159 (basement level)    ,27.04.2011 999 years from and including 1.1.2009 until and including ,AGL234964     ,,,,
683,23.06.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 3006 Landmark East Tower (thirtieth floor flat)   ,21.01.2011 999 years from and including 1.1.2009 until  ,AGL234991     ,,,,
684,23.06.2011 126 in blue on the supplementary plan 31.12.3007,Parking space 143 (basement level)    ,21.01.2011 999 years from and including 1.1.2009 until and including ,AGL234991     ,,,,
685,08.07.2011 Edged and numbered 5 in blue (part of) and including 31.12.3007,Flat 2705 Landmark East Tower (twenty seventh floor flat)   ,13.05.2011 999 years from and including 1.1.2009 until  ,AGL235941     ,,,,
